stellenart,berufe,letzteTaetigkeit.jahr,letzteTaetigkeit.bezeichnung
ARBEIT,"['Kaufmann/-frau - Büromanagement', 'Betreuungskraft / Alltagsbegleiter/in']",2026,Betreuungskraft / Alltagsbegleiter/in
ARBEIT,"['Großküchenkoch/-köchin', 'Koch/Köchin']",2026,Großküchenkoch/-köchin
ARBEIT,"['Biochemiker/in', 'Ingenieur/in - Biotechnologie']",2025,Helfer/in - Verkauf
ARBEIT,['Ingenieur/in - Maschinenbau'],,
ARBEIT,"['Betriebswirt/in (Hochschule) - Marketing', 'Betriebswirt/in (Hochschule)']",2025,Betriebswirt/in (Hochschule) - Marketing
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport']",2025,Auslieferungsfahrer/in (nicht Verkaufsfahrer/in)
ARBEIT,"['Leiter/in - Gastronomiebetrieb', 'Hotelfachmann/-frau', 'Kaufmann/-frau - Tourismus und Freizeit']",2026,Hotelfachmann/-frau
ARBEIT,"['Personalsachbearbeiter/in', 'Personalberater/in', 'Betriebswirt/in (Fachschule) - Kommunikation und Büromanagement/Bachelor Professional in Wirtschaft']",2026,Projektkoordinator/in (kaufmännisch)
ARBEIT,['Spielhallenaufsicht'],,"Helfer/in - Lagerwirtschaft, Transport"
ARBEIT,"['Berufskraftfahrer/in', 'Hausmeister/in']",2025,Hausmeister/in
ARBEIT,"['Unternehmensberater/in', 'Onlinemarketing-Manager/in', 'Organisationsleiter/in']",2022,Fachkraft - Gastronomie (Restaurantservice)
ARBEIT,"['Sales-Manager/in', 'Vertriebsassistent/in', 'Account-Manager/in']",2025,Kaufmann/-frau - Spedition und Logistikdienstleistung
ARBEIT,['Producer/in'],,Regieassistent/in
ARBEIT,['Sozialpädagogische/r Assistent/in / Kinderpfleger/in'],2025,Sozialpädagogische/r Assistent/in / Kinderpfleger/in
ARBEIT,"['Maschinen- und Anlagenführer/in (ohne Angabe des Schwerpunkts)', 'Helfer/in - Lagerwirtschaft, Transport']",,"Helfer/in - Lagerwirtschaft, Transport"
ARBEIT,"['Pförtner/in', 'Helfer/in - Metallbau', 'Helfer/in - Lagerwirtschaft, Transport']",2022,"Fachkraft - Kurier-, Express- und Postdienstleistungen"
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Helfer/in - Reinigung']",,
ARBEIT,['Empfangskraft'],2025,Empfangskraft
ARBEIT,"['Assistent/in - Personalwesen', 'Lernbetreuer/in']",2023,Technical-Account-Manager/in
ARBEIT,['Musiklehrer/in'],,Musiker/in - Internationale Folklore
ARBEIT,['Sicherheitsmitarbeiter/in'],2025,Servicekraft - Gastronomie und Gastgewerbe
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Helfer/in - Küche', 'Helfer/in - Lebensmittelherstellung']",2013,Industriemechaniker/in
ARBEIT,['Busfahrer/in'],,Taxifahrer/in
ARBEIT,['Leiter/in - Gastronomiebetrieb'],2026,Kaufmännische Fachkraft
ARBEIT,"['Rechtsanwalts- und Notarfachangestellte/r', 'Kaufmännische Fachkraft']",2026,Rechtsanwalts- und Notarfachangestellte/r
ARBEIT,"['Geschäftsführer/in', 'Business-Development-Manager/in', 'Leiter/in - Einkauf']",2025,Geschäftsführer/in
ARBEIT,"['Bürokaufmann/-frau', 'Büroassistent/in', 'Kaufmännische Fachkraft']",2026,Bürokaufmann/-frau
ARBEIT,"['Helfer/in - Reinigung', 'Beikoch/-köchin']",2022,Verkäufer/in
ARBEIT,['Finanzbuchhalter/in'],2020,Buchhalter/in
ARBEIT,['Helfer/in - Ausbau'],2024,Helfer/in - Ausbau
ARBEIT,['Hausmeister/in'],2026,Ausbaufacharbeiter/in (ohne Angabe des Schwerpunkts)
ARBEIT,"['Einzelhandelskaufmann/-frau', 'Verkäufer/in', 'Empfangskraft']",2025,Einzelhandelskaufmann/-frau
ARBEIT,"['Business-Development-Manager/in', 'Bereichsleiter/in', 'Leiter/in - Vertriebsinnendienst']",2024,Bereichsleiter/in
ARBEIT,"['EDV-Sachbearbeiter/in', 'Büroassistent/in']",2025,Land- und Baumaschinenmechatronikermeister/in/Bachelor Professional im Land- und Baumaschinenmechatroniker-Handwerk
ARBEIT,"['Helfer/in - Gastgewerbe', 'Helfer/in - Reinigung']",2026,Servicekraft - Gastronomie und Gastgewerbe
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport']",2024,Kommissionierer/in
ARBEIT,"['Heimerzieher/in', 'Schulbegleiter/in', 'Pädagogische/r Assistent/in']",2025,Heimerzieher/in
ARBEIT,['Helfer/in - Friseurgewerbe'],,
ARBEIT,"['Assistent/in - Informatik (Softwaretechnik)', 'Softwareentwickler/in']",,
