city,date,pm10,pm25,peak_temperature,precipitation_mm
Braunschweig,2020,13.525956284153006,7.923497267759563,15.0172131147541,1.830601092896175
Braunschweig,2021,14.53013698630137,8.802197802197803,13.478904109589042,1.9797260273972603
Braunschweig,2022,14.835616438356164,9.511049723756907,15.286027397260273,1.5076712328767121
Braunschweig,2023,12.054794520547945,7.315068493150685,14.877260273972603,2.768219178082192
Braunschweig,2024,13.762295081967213,8.237704918032787,15.33879781420765,2.32103825136612
Braunschweig,2025,14.621917808219179,8.902739726027397,14.79205479452055,1.5947945205479452
Bremen,2016,18.77030965391621,11.506830601092895,13.378142076502732,1.8816939890710385
Bremen,2017,18.683013698630138,11.653424657534247,13.543287671232877,2.586027397260274
Bremen,2018,19.87123287671233,12.95068493150685,15.023835616438356,1.5065753424657533
Bremen,2019,17.971872146118724,11.198173515981736,14.695342465753425,2.0257534246575344
Bremen,2020,16.1658014571949,9.56511839708561,14.742896174863388,2.058196721311475
Bremen,2021,15.942100456621004,9.882648401826483,13.47150684931507,2.286849315068493
Bremen,2022,16.403561643835616,9.681735159817352,14.978356164383563,1.9813698630136987
Bremen,2023,13.833744292237443,8.494977168949772,14.73013698630137,3.157808219178082
Bremen,2024,14.104605776736925,8.819216757741348,15.093715846994536,2.6527322404371585
Bremen,2025,15.742348336594912,8.534931506849315,14.610958904109589,1.673150684931507
Bremerhaven,2016,20.703551912568305,12.197771587743732,12.733879781420766,2.0510928961748633
Bremerhaven,2017,18.96027397260274,11.519444444444444,13.022191780821919,2.871232876712329
Bremerhaven,2018,20.395890410958906,12.322314049586776,14.262739726027396,1.8315068493150686
Bremerhaven,2019,18.247945205479454,11.144846796657381,13.947945205479453,2.3084931506849315
Bremerhaven,2020,16.128415300546447,8.972677595628415,14.086612021857922,2.416393442622951
Bremerhaven,2021,16.27260273972603,9.254847645429363,12.910684931506848,2.6364383561643834
Bremerhaven,2022,17.363013698630137,9.2986301369863,14.183835616438357,2.4964383561643837
Bremerhaven,2023,15.053424657534247,8.656593406593407,14.075342465753424,3.5397260273972604
Bremerhaven,2024,15.099726775956285,9.164835164835164,14.544535519125684,3.044808743169399
Bremerhaven,2025,15.80631868131868,8.301369863013699,13.803835616438356,2.217260273972603
Chemnitz,2016,18.546448087431695,,12.82486338797814,2.5598360655737706
Chemnitz,2017,16.206849315068492,,13.221369863013699,2.563013698630137
Chemnitz,2018,18.294520547945204,,14.742739726027398,1.6764383561643834
Chemnitz,2019,14.972602739726028,,14.563013698630137,2.270958904109589
Chemnitz,2020,13.650273224043715,,14.472131147540985,2.0207650273224043
Chemnitz,2021,14.01917808219178,9.957386363636363,12.642465753424657,2.615068493150685
Chemnitz,2022,13.901369863013699,8.783333333333333,14.5786301369863,2.0257534246575344
Chemnitz,2023,11.121212121212121,7.530612244897959,14.497534246575343,2.8145205479452056
