date,france_no2_mean
2023-05-12,12.758446211440454
2023-05-13,12.540175737092472
2023-05-14,10.147512480390514
2023-05-15,13.5642219898725
2023-05-16,12.7096242042101
2023-05-17,13.423822128766426
2023-05-18,13.4024288206645
2023-05-19,14.160686730133797
2023-05-20,13.143547152390873
2023-05-21,10.772008695300288
2023-05-22,14.893222690176767
2023-05-23,15.814051859442406
2023-05-24,15.162855795777714
2023-05-25,15.789285320608911
2023-05-26,15.151801801250752
2023-05-27,13.269590300987852
2023-05-28,10.872918289953038
2023-05-29,14.421799329748989
2023-05-30,14.579671821176186
2023-05-31,13.588162871443636
2023-06-01,14.109626400348533
2023-06-02,11.019365591516484
2023-06-03,11.711760302848239
2023-06-04,10.339184714164949
2023-06-05,12.656480812548905
2023-06-06,12.154985342437003
2023-06-07,12.416630553626296
2023-06-08,13.021443617474107
2023-06-09,13.311238539615335
2023-06-10,11.37532827949779
2023-06-11,10.26228376074421
2023-06-12,12.40035365328071
2023-06-13,13.363692175531186
2023-06-14,13.206460212512491
2023-06-15,12.521348674305603
2023-06-16,13.380803666374186
2023-06-17,13.068861019205265
2023-06-18,12.00164305351998
2023-06-19,15.221185422079536
2023-06-20,16.2562449635281
2023-06-21,18.296253897678703
2023-06-22,18.74141950488506
2023-06-23,15.416946700143647
2023-06-24,11.138341031989173
2023-06-25,9.577213741614996
2023-06-26,13.208062211677406
2023-06-27,14.665677313807842
2023-06-28,12.27454772411682
2023-06-29,11.970278165492948
2023-06-30,14.08064485127629
2023-07-01,10.284988027853828
2023-07-02,9.243225797391386
2023-07-03,11.24364618692185
2023-07-04,11.054637361522916
2023-07-05,11.865061326543438
2023-07-06,12.310196890847376
2023-07-07,13.136353299722243
2023-07-08,12.910865250399869
2023-07-09,12.265061589547008
2023-07-10,15.642316027520364
2023-07-11,15.515927415156172
2023-07-12,15.10531501002092
2023-07-13,12.807784221725674
2023-07-14,11.993416796066251
2023-07-15,11.574653141889167
2023-07-16,13.896162327004719
2023-07-17,22.173053004375095
2023-07-18,19.325531002257552
2023-07-19,15.68147556974844
2023-07-20,13.594754818526617
2023-07-21,13.688654104208329
2023-07-22,11.11415950749561
2023-07-23,10.766093526018409
2023-07-24,-13.96649338889274
2023-07-25,12.96094350439896
2023-07-26,10.528776263082202
2023-07-27,13.629930436319079
2023-07-28,14.303373088365781
2023-07-29,13.609065365276546
2023-07-30,9.662632701545402
2023-07-31,12.872853731413514
2023-08-01,11.919768117357199
2023-08-02,10.865888708058186
2023-08-03,10.07769207572153
2023-08-04,12.08415662349332
2023-08-05,10.85480623634416
2023-08-06,10.303819981233461
2023-08-07,11.892792352811343
2023-08-08,-13.75527281933376
2023-08-09,13.858458587444007
2023-08-10,13.946278801200263
2023-08-11,-12.321968841223573
2023-08-12,12.770400843778589
2023-08-13,11.431724202237303
2023-08-14,12.618753158268655
2023-08-15,10.152875070167363
2023-08-16,11.336978457428163
2023-08-17,11.512721056601166
