city,population,lat,lon,date,peak_temperature,precipitation_mm
Oberhausen,219176,51.493847,6.8478265,2016-04-30,11.4,3.0
Oberhausen,219176,51.493847,6.8478265,2016-05-01,14.4,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-02,18.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-03,13.4,0.9
Oberhausen,219176,51.493847,6.8478265,2016-05-04,14.0,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-05,18.9,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-06,22.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-07,24.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-08,23.3,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-09,24.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-10,23.4,0.5
Oberhausen,219176,51.493847,6.8478265,2016-05-11,23.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-12,23.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-13,22.2,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-14,12.0,0.7
Oberhausen,219176,51.493847,6.8478265,2016-05-15,12.2,0.2
Oberhausen,219176,51.493847,6.8478265,2016-05-16,12.8,0.8
Oberhausen,219176,51.493847,6.8478265,2016-05-17,16.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-18,18.4,3.9
Oberhausen,219176,51.493847,6.8478265,2016-05-19,17.4,0.1
Oberhausen,219176,51.493847,6.8478265,2016-05-20,15.5,0.2
Oberhausen,219176,51.493847,6.8478265,2016-05-21,22.5,0.1
Oberhausen,219176,51.493847,6.8478265,2016-05-22,21.3,17.0
Oberhausen,219176,51.493847,6.8478265,2016-05-23,14.4,4.6
Oberhausen,219176,51.493847,6.8478265,2016-05-24,13.9,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-25,15.6,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-26,20.3,0.0
Oberhausen,219176,51.493847,6.8478265,2016-05-27,21.1,2.9
Oberhausen,219176,51.493847,6.8478265,2016-05-28,22.7,1.2
Oberhausen,219176,51.493847,6.8478265,2016-05-29,20.1,7.8
Oberhausen,219176,51.493847,6.8478265,2016-05-30,21.1,15.0
Oberhausen,219176,51.493847,6.8478265,2016-05-31,21.0,0.0
Oberhausen,219176,51.493847,6.8478265,2016-06-01,20.5,23.9
Oberhausen,219176,51.493847,6.8478265,2016-06-02,23.3,4.0
Oberhausen,219176,51.493847,6.8478265,2016-06-03,24.2,1.4
Oberhausen,219176,51.493847,6.8478265,2016-06-04,24.6,0.3
Oberhausen,219176,51.493847,6.8478265,2016-06-05,26.0,0.2
Oberhausen,219176,51.493847,6.8478265,2016-06-06,26.3,0.6
Oberhausen,219176,51.493847,6.8478265,2016-06-07,25.3,2.0
Oberhausen,219176,51.493847,6.8478265,2016-06-08,21.0,1.4
Oberhausen,219176,51.493847,6.8478265,2016-06-09,19.0,0.0
Oberhausen,219176,51.493847,6.8478265,2016-06-10,20.8,0.0
Oberhausen,219176,51.493847,6.8478265,2016-06-11,20.7,0.5
Oberhausen,219176,51.493847,6.8478265,2016-06-12,21.1,4.1
Oberhausen,219176,51.493847,6.8478265,2016-06-13,18.8,14.0
Oberhausen,219176,51.493847,6.8478265,2016-06-14,19.5,1.6
Oberhausen,219176,51.493847,6.8478265,2016-06-15,18.3,7.2
Oberhausen,219176,51.493847,6.8478265,2016-06-16,20.2,1.3
Oberhausen,219176,51.493847,6.8478265,2016-06-17,18.3,7.0
