state,year,pm10,pm25,no2
Nordrhein-Westfalen,2019,17.61777927065292,11.079002148804728,25.41506510326313
Nordrhein-Westfalen,2020,16.68816801921606,9.484448987086717,21.532852494535053
Nordrhein-Westfalen,2021,17.132025955587714,10.951550985722912,21.878296750866873
Nordrhein-Westfalen,2022,17.219589222653603,10.289599271648454,21.22514015022107
Nordrhein-Westfalen,2023,14.576329554133364,8.920925635370194,18.49986255489115
Nordrhein-Westfalen,2024,13.93386498784349,8.95581285329815,18.218038265022788
Nordrhein-Westfalen,2025,15.684346858220687,9.798476089223556,19.01899817949449
Nordrhein-Westfalen,2026,16.31943225022854,12.9679349710906,19.664365419480472
Rheinland-Pfalz,2016,16.3946563964959,11.376003201413038,24.582851760500343
Rheinland-Pfalz,2017,16.92280127256197,11.3834800055348,23.522797571146945
Rheinland-Pfalz,2018,17.450384756882805,11.973805441134209,23.553451489761613
Rheinland-Pfalz,2019,15.614327409646867,10.356398761056296,21.553554475613353
Rheinland-Pfalz,2020,14.117899746419514,8.912348580381368,18.223598889445828
Rheinland-Pfalz,2021,14.157112777673339,9.58581829890049,17.685235773363647
Rheinland-Pfalz,2022,15.144600202105504,9.826094666368638,17.602850481173824
Rheinland-Pfalz,2023,13.137986473368487,8.620367988176207,14.680839884321747
Rheinland-Pfalz,2024,13.262792849527738,8.800841280759313,14.267892244080587
Rheinland-Pfalz,2025,14.95811296135854,10.351867812552744,15.774214932837914
Rheinland-Pfalz,2026,17.43171654626763,14.612995761300846,18.538228913799564
Saarland,2016,16.653734061930784,11.778082191780822,21.851507735093065
Saarland,2017,15.81579908675799,11.572602739726028,20.682370563887833
Saarland,2018,17.003770384866275,11.922651933701658,22.148930908247685
Saarland,2019,15.898564905414222,10.245179063360881,20.468778848894658
Saarland,2020,13.610948477751757,8.726775956284152,17.295817123030012
Saarland,2021,13.911725375081538,9.516483516483516,16.60198469983461
Saarland,2022,14.966503587736463,9.667597765363128,16.143141826996843
Saarland,2023,12.525815394651012,8.523287671232877,13.615701507396713
Saarland,2024,12.281111761644548,8.351548269581055,12.9612436498782
Saarland,2025,13.662752772341813,9.087214611872147,13.910825337638574
Saarland,2026,14.971852300242132,12.661016949152541,16.716716887430202
Sachsen,2016,18.18022435414584,,21.564393080481366
Sachsen,2017,16.68935776552215,,20.20984258052417
Sachsen,2018,19.056241974800017,,20.616455680872917
Sachsen,2019,15.205173363046471,,18.205802932552594
Sachsen,2020,13.658505428997232,,15.534653334177369
Sachsen,2021,13.871661187730275,8.718995127491036,15.556733761929802
Sachsen,2022,14.090457433854821,9.03921923227354,14.306008354159326
Sachsen,2023,11.447286093276578,7.225757877772594,12.69450449689273
Sachsen,2024,13.108453403915195,8.55593362266553,12.352519446952824
Sachsen,2025,13.589759885075548,8.897805197050712,13.0283377560063
Sachsen,2026,20.252370863599676,14.940969489193238,17.061076743469748
Sachsen-Anhalt,2016,17.716620377419495,13.116602697545321,18.252199787189486
Sachsen-Anhalt,2017,17.091858763212088,11.965764296586213,16.999538227353796
Sachsen-Anhalt,2018,19.053581376554465,13.036252446183953,16.78500351268859
Sachsen-Anhalt,2019,15.874408280976414,10.171912372254837,15.174317495894591
Sachsen-Anhalt,2020,14.95555144692332,9.312390493538034,13.386901766324035
Sachsen-Anhalt,2021,15.354439554677478,9.834360730593607,13.179969822254572
Sachsen-Anhalt,2022,15.521524046729525,9.482757121113286,12.235620032408494
Sachsen-Anhalt,2023,12.978026448437408,8.187502581803548,10.634292405382197
Sachsen-Anhalt,2024,14.303101301440387,8.692509426357065,11.131264164675217
Sachsen-Anhalt,2025,14.998996026804246,9.60862773922573,11.50425859375575
Sachsen-Anhalt,2026,24.654934969231213,21.69743194658449,15.099493553315346
Schleswig-Holstein,2016,17.402680197762166,11.133151183970856,33.27151358632586
Schleswig-Holstein,2017,17.078848662752772,10.46945205479452,27.706690671012375
Schleswig-Holstein,2018,18.27249619482496,11.421135029354206,25.33256955096854
Schleswig-Holstein,2019,17.500426179604265,10.691063274624918,23.529905045745302
Schleswig-Holstein,2020,14.617956891317547,8.295407233931824,19.623535928185426
Schleswig-Holstein,2021,13.97737116764514,7.810654490106546,19.004955999485478
Schleswig-Holstein,2022,14.76624918460535,7.6844922809306375,17.953911179956076
Schleswig-Holstein,2023,12.51951293759513,6.415650141335073,16.57575678187834
Schleswig-Holstein,2024,12.669414086217365,6.693246378697198,15.24629496394807
Schleswig-Holstein,2025,13.259092193955208,7.279495542509241,15.971645467484016
Schleswig-Holstein,2026,19.13370998116761,14.469868173258003,16.787478425494786
Thüringen,2016,15.07453792992607,12.021402550091073,17.96846081646534
Thüringen,2017,14.68314262691378,11.554337899543379,16.470867760442477
Thüringen,2018,16.951798504790045,12.100502283105023,16.672024984201887
Thüringen,2019,13.859737772782749,9.550722983257229,15.47142076118212
Thüringen,2020,13.343691785984838,9.953126897389193,13.344960687245296
Thüringen,2021,13.429002737841111,8.958984789943694,13.211272081848941
Thüringen,2022,14.295202887691966,8.890765216518641,12.492012970815713
Thüringen,2023,12.469874794426303,7.454404872980194,10.475391514926956
Thüringen,2024,13.747793154266787,8.240922138196664,10.412206687383657
Thüringen,2025,14.342489786109107,8.934599054714411,11.454509935473274
Thüringen,2026,20.721677074041036,16.47636039250669,16.915502653033666
